collegeId,collegeName,type,accreditation,rankingTier,state,district,region,address,website,rating,latitude,longitude,searchKeywords
UGC-1107-911,Sushant University (Formerly Ansal University),Private,UGC 2(f),Unranked,Haryana,,India,"Sec 55 Golf Course Road GurugramSector 55, Golf Course Road,Gurugram 122003",,4,0,0,University|Degree|Higher Education
UGC-1108-921,Swami Keshwanand Rajasthan Agricultural University,State University,UGC 2(f) & 12(B),Unranked,Rajasthan,,India,"Beechwal, Sriganganagar Road, Bikaner 334006",,4.3,0,0,University|Degree|Higher Education
UGC-1109-736,Swami Rama Himalayan University,Private,UGC 2(f),Unranked,Uttarakhand,,India,"Swami Ram Nagar, Jolly Grant,  Dehradun,  Uttarakhand, PO-Doiwala, Dehradun 248016",,4.7,0,0,University|Degree|Higher Education
UGC-1110-781,Swami Ramanand Teerth Marathwada University,State University,UGC 2(f) & 12(B),Unranked,Maharashtra,,India,"Vishnupuri, Nanded 431606",,3.9,0,0,University|Degree|Higher Education
UGC-1111-552,Swami Vivekanand University,Private,UGC 2(f),Unranked,Madhya Pradesh,,India,"N.H.26, Narsingpur Road, SironjaSagar 470 228",,3.9,0,0,University|Degree|Higher Education
UGC-1112-688,Swami Vivekanand University,Private,UGC 2(f),Unranked,Assam,,India,"IT Park, Kumguri, Kokrajhar, 783370",,4.7,0,0,University|Degree|Higher Education
UGC-1113-16,Swami Vivekananda Subharti University,Private,UGC 2(f),Unranked,Uttar Pradesh,,India,"Subhartipuram, NH-58, Delhi-Haridwar Bypass Road, Meerut, Uttar PradeshBypass Road, Meerut 250005",,4.5,0,0,University|Degree|Higher Education
UGC-1114-147,Swami Vivekananda University,Private,UGC 2(f),Unranked,West Bengal,,India,"Sewli, Telinipara, Bara Kanthalia, Barasat - Barrackpore Rd., Kolkata, West BengalNorth 24 Paraganas, Barrackpore, Kolkata 700121",,4.3,0,0,University|Degree|Higher Education
UGC-1115-36,Swami Vivekananda Yoga Anusandhana Samsthana,Deemed,UGC Section-III & 12(B),Unranked,Karnataka,,India,"Gavipuram Circle, Kempegowda Nagar, Agrahara, Bangalore 560019",,4.3,0,0,University|Degree|Higher Education
UGC-1116-582,Swaminarayan University,Private,UGC 2(f),Unranked,Gujarat,,India,"Shree Swaminarayan Vishvamangal GurukulAhmedabad-Nehsana HighwayAT & PO- Saij, Tehsil -Kalol, Dist.:,Gandhinagar 382725",,4.5,0,0,University|Degree|Higher Education
UGC-1117-725,Swarnim Gujarat Sports University,State University,UGC 2(f),Unranked,Gujarat,,India,"Commerce College Campus, Opp Youth Hostel, Sector 15, Gandhinagar, Gujarat PTC Building Campus, Gandhinagar 382016",,4.4,0,0,University|Degree|Higher Education
UGC-1118-853,Swarnim Startup & Innovation University,Private,UGC 2(f),Unranked,Gujarat,,India,"Bhoyan Rathod, GandhinagarOpp. IFFCO,Adalaj-Sertha Road, Gandhinagar 382420",,4.6,0,0,University|Degree|Higher Education
UGC-1119-173,Symbiosis International University,Deemed,UGC Section-III & 12(B),Unranked,Maharashtra,,India,"Gram: Lavale, Tal: Mulshi, District: Pune 412115",,4.2,0,0,University|Degree|Higher Education
